normalized,display,value
"0g1","0g૧ ~~","0g૧ ~~ "
"0g2","0g૨ ~~","0g૨ ~~ "
"0g3","0g૩ ~~","0g૩ ~~ "
"0g4","0g૪ ~~","0g૪ ~~ "
"0g6","0g૬ ~~","0g૬ ~~ "
"0g7","0g૭ ~~","0g૭ ~~ "
"0g8","0g૮ ~~","0g૮ ~~ "
"0g9","0g૯ ~~","0g૯ ~~ "
"0gp","0gપ ~~","0gપ ~~ "
"1","1 ~~","1 ~~ "
"2/1/1/p","2/૧/૧/p ~~","2/૧/૧/p ~~ "
"2/1/p1/p","2/૧/p૧/p ~~","2/૧/p૧/p ~~ "
"2/1/p2","2/૧/p૨ ~~","2/૧/p૨ ~~ "
"2/2","2/૨ ~~","2/૨ ~~ "
"2/2/2","2/૨/૨ ~~","2/૨/૨ ~~ "
"2/3","2/૩ ~~","2/૩ ~~ "
"2/4","2/૪ ~~","2/૪ ~~ "
"2/6","2/૬ ~~","2/૬ ~~ "
"2/p","2/પ ~~","2/પ ~~ "
"3","3 ~~","3 ~~ "
"4","4 ~~","4 ~~ "
"5/1","5/૧ ~~","5/૧ ~~ "
"5/2","5/૨ ~~","5/૨ ~~ "
"6/1/અ","6/૧/અ ~~","6/૧/અ ~~ "
"6/1/બ","6/૧/બ ~~","6/૧/બ ~~ "
"6/2","6/૨ ~~","6/૨ ~~ "
"6/3","6/૩ ~~","6/૩ ~~ "
"6/4","6/૪ ~~","6/૪ ~~ "
"7","7 ~~","7 ~~ "
"8","8 ~~","8 ~~ "
"9","9 ~~","9 ~~ "
"10","10 ~~","10 ~~ "
"11/p1","11/p૧ ~~","11/p૧ ~~ "
"11/p2","11/p૨ ~~","11/p૨ ~~ "
"11/p3","11/p૩ ~~","11/p૩ ~~ "
"11/p4","11/p૪ ~~","11/p૪ ~~ "
"12","12 ~~","12 ~~ "
"13","13 ~~","13 ~~ "
"14/1","14/૧ ~~","14/૧ ~~ "
"14/2/1","14/૨/૧ ~~","14/૨/૧ ~~ "
"14/2/2","14/૨/૨ ~~","14/૨/૨ ~~ "
"14/2/3","14/૨/૩ ~~","14/૨/૩ ~~ "
"14/3","14/૩ ~~","14/૩ ~~ "
"15/1","15/૧ ~~","15/૧ ~~ "
"15/2","15/૨ ~~","15/૨ ~~ "
"16","16 ~~","16 ~~ "
"16/અ","16/અ ~~","16/અ ~~ "
