jantri_district,jantri_taluka,jantri_village,village_key,village_id,n_rows,n_surveys,match,tie,ircms_district,ircms_district_code,ircms_taluka,ircms_taluka_code,ircms_village_code,ircms_village_en,ircms_village_gu
ANAND,ANAND,ADAS,ADAS,1107,39,1483,exact,taluka,ANAND,15,Anand,04,035,Adas,અડાસ
ANAND,ANAND,AJARPURA,AJARPURA,1108,83,2082,exact,taluka,ANAND,15,Anand,04,004,Ajarpura,અજરપુરા
ANAND,ANAND,ANKLAVDI,ANKLAVDI,1109,20,367,exact,taluka,ANAND,15,Anand,04,034,Anklavdi,આંકલાવડી
ANAND,ANAND,BEDVA,BEDVA,1110,10,387,exact,taluka,ANAND,15,Anand,04,017,Bedva,બેડવા
ANAND,ANAND,CHIKHODRA,CHIKHODRA,1111,104,1730,exact,taluka,ANAND,15,Anand,04,011,Chikhodra,ચિખોદરા
ANAND,ANAND,GAMDI,GAMDI,1112,58,781,exact,taluka,ANAND,15,Anand,04,012,Gamdi,ગામડી
ANAND,ANAND,GANA,GANA,1113,18,481,exact,taluka,ANAND,15,Anand,04,028,Gana,ગાના
ANAND,ANAND,GOPALPURA,GOPALPURA,1114,12,183,exact,taluka,ANAND,15,Anand,04,031,Gopalpura,ગોપાલપુરા
ANAND,ANAND,HADGOOD,HADGOOD,1115,24,314,exact,taluka,ANAND,15,Anand,04,023,Hadgood,હાડગુડ
ANAND,ANAND,JAKHARIYA,JAKHARIYA,1116,7,213,exact,taluka,ANAND,15,Anand,04,032,Jakhariya,ઝાંખરીયા
ANAND,ANAND,JITODIYA,JITODIYA,1117,35,372,exact,taluka,ANAND,15,Anand,04,024,Jitodiya,જીટોડીયા
ANAND,ANAND,JOL,JOL,1118,64,1642,exact,taluka,ANAND,15,Anand,04,014,Jol,જોળ
ANAND,ANAND,KASOR,KASOR,1119,32,1951,exact,taluka,ANAND,15,Anand,04,003,Kasor,કાસોર
ANAND,ANAND,KHAMBHOLAJ,KHAMBHOLAJ,1120,11,1294,exact,taluka,ANAND,15,Anand,04,009,Khambholaj,ખંભોળજ
ANAND,ANAND,KHANDHALI,KHANDHALI,1121,48,305,exact,taluka,ANAND,15,Anand,04,039,Khandhali,ખાંધલી
ANAND,ANAND,KHANPUR,KHANPUR,1122,14,725,exact,taluka,ANAND,15,Anand,04,019,Khanpur,ખાનપુર
ANAND,ANAND,KHERDA,KHERDA,1123,6,212,exact,taluka,ANAND,15,Anand,04,020,Kherda,ખેરડા
ANAND,ANAND,KUNJRAO,KUNJRAO,1124,78,857,exact,taluka,ANAND,15,Anand,04,008,Kunjrao,કુંજરાવ
ANAND,ANAND,LAMBHVEL,LAMBHVEL,1125,19,635,exact,taluka,ANAND,15,Anand,04,013,Lambhvel,લાંભવેલ
ANAND,ANAND,MEGHVA GANA,MEGHVAGANA,1126,12,256,exact,taluka,ANAND,15,Anand,04,038,Meghva Gana,મે઼ઘવાગાના
ANAND,ANAND,MOGAR,MOGAR,1127,48,784,exact,taluka,ANAND,15,Anand,04,022,Mogar,મોગર
ANAND,ANAND,MOGARI,MOGARI,1128,38,1884,exact,taluka,ANAND,15,Anand,04,025,Mogari,મોગરી
ANAND,ANAND,NAPAD TALPAD,NAPADTALPAD,1129,27,850,exact,taluka,ANAND,15,Anand,04,040,Napad Talpad,નાપાડ તળપદ
ANAND,ANAND,NAPAD VANTO,NAPADVANTO,1130,70,694,exact,taluka,ANAND,15,Anand,04,036,Napad Vanto,નાપાડ વાંટા
ANAND,ANAND,NAVLI,NAVLI,1131,49,1024,exact,taluka,ANAND,15,Anand,04,029,Navli,નાવલી
ANAND,ANAND,RAHTALAV,RAHTALAV,1132,15,347,exact,taluka,ANAND,15,Anand,04,002,Rahtalav,રાહતલાવ
ANAND,ANAND,RAJUPURA,RAJUPURA,1133,8,161,exact,taluka,ANAND,15,Anand,04,042,Rajupura,રાજુપુરા
ANAND,ANAND,RAMNAGAR,RAMNAGAR,1134,2,386,exact,taluka,ANAND,15,Anand,04,033,Ramnagar,રામનગર
ANAND,ANAND,RASNOL,RASNOL,1135,24,1529,exact,taluka,ANAND,15,Anand,04,010,Rasnol,રાસનોલ
ANAND,ANAND,SAMARKHA,SAMARKHA,1136,150,1818,exact,taluka,ANAND,15,Anand,04,006,Samarkha,સામરખા
ANAND,ANAND,SANDESAR,SANDESAR,1137,23,2016,exact,taluka,ANAND,15,Anand,04,027,Sandesar,સંદેસર
ANAND,ANAND,SARSA,SARSA,1138,22,2529,exact,taluka,ANAND,15,Anand,04,018,Sarsa,સારસા
ANAND,ANAND,SUNDAN,SUNDAN,1139,8,728,exact,taluka,ANAND,15,Anand,04,041,Sundan,સુંદણ
ANAND,ANAND,TARNOL,TARNOL,1140,40,924,exact,taluka,ANAND,15,Anand,04,007,Tarnol,ત્રણોલ
ANAND,ANAND,VADOD,VADOD,1141,27,1121,exact,taluka,ANAND,15,Anand,04,030,Vadod,વડોદ
ANAND,ANAND,VAGHASI,VAGHASI,1142,48,481,exact,taluka,ANAND,15,Anand,04,016,Vaghasi,વઘાસી
ANAND,ANAND,VAHERAKHADI,VAHERAKHADI,1143,38,784,exact,taluka,ANAND,15,Anand,04,021,Vaherakhadi,વેરાખાડી
ANAND,ANAND,VALASAN,VALASAN,1144,39,902,exact,taluka,ANAND,15,Anand,04,026,Valasan,વલાસણ
ANAND,ANAND,VANS KHILIYA,VANSKHILIYA,1145,45,184,exact,taluka,ANAND,15,Anand,04,037,Vans Khiliya,વાંસખેલીયા
ANAND,ANAND,VASAD,VASAD,1146,83,1024,exact,taluka,ANAND,15,Anand,04,043,Vasad,વાસદ
ANAND,ANKLAV,AMBALI,AMBALI,1147,55,481,exact,taluka,ANAND,15,Anklav,08,001,Ambali,અંબાલી
ANAND,ANKLAV,AMBAV,AMBAV,1148,13,695,exact,taluka,ANAND,15,Anklav,08,002,Ambav,અંબાવ
ANAND,ANKLAV,AMROL,AMROL,1149,40,639,exact,taluka,ANAND,15,Anklav,08,003,Amrol,આમરોલ
ANAND,ANKLAV,ASARMA,ASARMA,1150,50,1051,exact,taluka,ANAND,15,Anklav,08,005,Asarma,આસરમા
ANAND,ANKLAV,ASODAR,ASODAR,1151,62,1499,exact,taluka,ANAND,15,Anklav,08,006,Asodar,આસોદર
ANAND,ANKLAV,BAMANGAM,BAMANGAM,1152,75,1668,exact,taluka,ANAND,15,Anklav,08,007,Bamangam,બામણગામ
ANAND,ANKLAV,BHANPURA,BHANPURA,1153,16,160,exact,taluka,ANAND,15,Anklav,08,008,Bhanpura,ભાણપુરા
ANAND,ANKLAV,BHETASI (TALPAD),BHETASITALPAD,1154,36,1574,exact,taluka,ANAND,15,Anklav,08,009,Bhetasi (Talpad),ભેટાસી (તલપદ)
ANAND,ANKLAV,BHETASI BA BHAG,BHETASIBABHAG,1155,18,410,exact,taluka,ANAND,15,Anklav,08,010,Bhetasi Ba Bhag,ભેટાસી (બા.ભાગ)
ANAND,ANKLAV,BHETASI VANTO,BHETASIVANTO,1156,53,1213,exact,taluka,ANAND,15,Anklav,08,011,Bhetasi Vanto,ભેટાસી વાંટા
ANAND,ANKLAV,BILPAD,BILPAD,1157,40,544,exact,taluka,ANAND,15,Anklav,08,012,Bilpad,બીલપાડ
ANAND,ANKLAV,CHAMARA,CHAMARA,1158,25,859,exact,taluka,ANAND,15,Anklav,08,013,Chamara,ચમારા
ANAND,ANKLAV,DEVAPURA,DEVAPURA,1159,34,773,exact,taluka,ANAND,15,Anklav,08,014,Devapura,દેવાપુરા
ANAND,ANKLAV,GAMBHIRA,GAMBHIRA,1160,48,3803,exact,taluka,ANAND,15,Anklav,08,015,Gambhira,ગંભીરા
ANAND,ANKLAV,HALDARI,HALDARI,1161,27,240,exact,taluka,ANAND,15,Anklav,08,016,Haldari,હલદરી
ANAND,ANKLAV,HATHIPURA,HATHIPURA,1162,35,433,exact,taluka,ANAND,15,Anklav,08,017,Hathipura,હઠીપુરા
ANAND,ANKLAV,JHILOD,JHILOD,1163,20,278,exact,taluka,ANAND,15,Anklav,08,018,Jhilod,જીલોડ
ANAND,ANKLAV,JOSHIKUVA,JOSHIKUVA,1164,48,831,exact,taluka,ANAND,15,Anklav,08,019,Joshikuva,જોષીકુવા
ANAND,ANKLAV,KANTHARIYA,KANTHARIYA,1165,36,693,exact,taluka,ANAND,15,Anklav,08,020,Kanthariya,કંથારીયા
ANAND,ANKLAV,KANVADI,KANVADI,1166,42,387,exact,taluka,ANAND,15,Anklav,08,021,Kanvadi,કહાનવાડી
ANAND,ANKLAV,KHADOL (HALDARI),KHADOLHALDARI,1167,47,1246,exact,taluka,ANAND,15,Anklav,08,022,Khadol (Haldari),ખડોલ (હલદરી)
ANAND,ANKLAV,KHADOL (UMETA),KHADOLUMETA,1168,22,366,exact,taluka,ANAND,15,Anklav,08,023,Khadol (Umeta),ખડોલ (ઉમેટા)
ANAND,ANKLAV,KOSINDRA,KOSINDRA,1169,83,837,exact,taluka,ANAND,15,Anklav,08,024,Kosindra,કોસીન્દ્રા
ANAND,ANKLAV,LALPURA,LALPURA,1170,18,431,exact,taluka,ANAND,15,Anklav,08,025,Lalpura,લાલપુરા
ANAND,ANKLAV,MANPURA,MANPURA,1171,10,154,exact,taluka,ANAND,15,Anklav,08,026,Manpura,માનપુરા
ANAND,ANKLAV,MUJKUVA,MUJKUVA,1172,35,345,exact,taluka,ANAND,15,Anklav,08,027,Mujkuva,મુજકુવા
ANAND,ANKLAV,NARPURA,NARPURA,1173,17,297,exact,taluka,ANAND,15,Anklav,08,028,Narpura,નારપુરા
ANAND,ANKLAV,NAVAKHAL,NAVAKHAL,1174,51,560,exact,taluka,ANAND,15,Anklav,08,029,Navakhal,નવાખલ
ANAND,ANKLAV,NAVAPURA,NAVAPURA,1175,27,400,exact,taluka,ANAND,15,Anklav,08,030,Navapura,નવાપુરા
ANAND,ANKLAV,SANKHYAD,SANKHYAD,1176,48,612,exact,taluka,ANAND,15,Anklav,08,031,Sankhyad,સંખ્યાડ
ANAND,ANKLAV,UMETA,UMETA,1177,46,468,exact,taluka,ANAND,15,Anklav,08,032,Umeta,ઉમેટા
ANAND,BORSAD,ALARSA,ALARSA,1178,15,976,exact,taluka,ANAND,15,Borsad,07,036,Alarsa,અલારસા
ANAND,BORSAD,AMIYAD,AMIYAD,1179,18,576,exact,taluka,ANAND,15,Borsad,07,045,Amiyad,અમીયાદ
ANAND,BORSAD,BADALPUR,BADALPUR,1180,18,329,exact,taluka,ANAND,15,Borsad,07,060,Badalpur,બદલપુર
ANAND,BORSAD,BANEJDA,BANEJDA,1181,4,236,exact,taluka,ANAND,15,Borsad,07,043,Banejda,બનેજડા
ANAND,BORSAD,BHADRAN,BHADRAN,1182,25,2750,exact,taluka,ANAND,15,Borsad,07,035,Bhadran,ભાદરણ
ANAND,BORSAD,BHADRANIYA,BHADRANIYA,1183,19,1576,exact,taluka,ANAND,15,Borsad,07,034,Bhadraniya,ભાદરણીયા
ANAND,BORSAD,BOCHASAN,BOCHASAN,1184,51,2484,exact,taluka,ANAND,15,Borsad,07,015,Bochasan,બોચાસણ
ANAND,BORSAD,BODAL,BODAL,1185,44,1637,exact,taluka,ANAND,15,Borsad,07,018,Bodal,બોદાલ
ANAND,BORSAD,CHUVA,CHUVA,1186,10,636,exact,taluka,ANAND,15,Borsad,07,024,Chuva,ચુવા
ANAND,BORSAD,DABHASI,DABHASI,1187,23,562,exact,taluka,ANAND,15,Borsad,07,016,Dabhasi,ડભાસી
ANAND,BORSAD,DAHEMI,DAHEMI,1188,6,963,exact,taluka,ANAND,15,Borsad,07,009,Dahemi,દહેમી
ANAND,BORSAD,DALI,DALI,1189,14,328,exact,taluka,ANAND,15,Borsad,07,058,Dali,ડાલી
ANAND,BORSAD,DAVOL,DAVOL,1190,34,1165,exact,taluka,ANAND,15,Borsad,07,017,Davol,દાવોલ
ANAND,BORSAD,DEDARDA,DEDARDA,1191,53,1209,exact,taluka,ANAND,15,Borsad,07,013,Dedarda,દેદરડા
ANAND,BORSAD,DHANAVASI,DHANAVASI,1192,2,577,exact,taluka,ANAND,15,Borsad,07,050,Dhanavasi,ધનાવશી
