AHMEDABAD AHMEDABAD-AGRI
AMRELI AMRELI-AGRI
ANAND ANAND-AGRI
BANASKANTHA BANASKANTHA-AGRI
BHARUCH BHARUCH-AGRI
BHAVNAGAR BHAVNAGAR-AGRI
DAHOD DAHOD-AGRI
DANGS DANGS-AGRI
GANDHINAGAR GANDHINAGAR-AGRI
JAMNAGAR JAMNAGAR-AGRI
KACHCHH KACHCHH-AGRI
JUNAGADH JUNAGADH_AGRI
KHEDA KHEDA_AGRI
MAHESANA MAHESANA_AGRI
NARMADA NARMADA_AGRI
NAVSARI NAVSARI_AGRI
PANCHMAHAL PANCHMAHAL_AGRI
PATAN PATAN_AGRI
PORBANDAR PORBANDAR_AGRI
RAJKOT RAJKOT_AGRI
SABARKANTHA SABARKANTHA_AGRI
SURENDRANAGAR SURENDRANAGAR_AGRI
TAPI TAPI_AGRI
VADODARA VADODARA_AGRI
VALSAD VALSAD_AGRI
SURAT SURAT
